epoch,acc,loss,val_acc,val_loss
0,0.9578604767719905,0.12719701714813708,0.9638653927379184,0.09916646944151984
1,0.9813363244136174,0.05696848661949237,0.9694750905036926,0.08476654647125138
2,0.9853585342566172,0.04297408126294613,0.9744802647166781,0.07009625807404518
3,0.9876406739155451,0.03588690226897597,0.9784205423461066,0.059674803995423846
4,0.9887457360823949,0.03207600883518656,0.9811107847425673,0.05066513104571237
5,0.9896854927142461,0.02910670197258393,0.9834695723321702,0.04390592438479265
6,0.9902730296055476,0.027143775889029106,0.9847380254003737,0.04056677925917837
7,0.9908790032068888,0.025234730200221142,0.9855353633562723,0.03871589298877451
8,0.9911354511976243,0.024224071546147266,0.9869437350167168,0.035212591083513364
9,0.991524088382721,0.023015350413819153,0.9880848593182034,0.032084388037522636
10,0.9916826059420903,0.02239993537465731,0.9878230094909668,0.032586951843566365
11,0.9919636835654576,0.02153380277256171,0.9888929790920682,0.0296197599834866
12,0.9921204040447871,0.02095895423553884,0.9887923796971639,0.029850204578704305
13,0.9922874798377355,0.020456234738230706,0.9884712762302823,0.03041688787440459
14,0.9925183961788814,0.019718139572069047,0.9887289802233378,0.02980780332452721
15,0.99260999361674,0.019421658106148244,0.9890945023960538,0.028818260671363935
16,0.9927374809980393,0.019031255645677446,0.9891570541593764,0.02866903382043044
17,0.9928271392981212,0.018712442632143698,0.9892341428332858,0.028433681569165654
18,0.992931670943896,0.018375537327180304,0.9895487295256721,0.02754137706425455
19,0.9930412232875824,0.018080239991346995,0.9893768363528781,0.028044635843899515
20,0.9931134472290675,0.01780299502424896,0.989475793308682,0.027765635401010513
21,0.9932145734628042,0.017508888337761163,0.9900788134998746,0.026200653985142708
22,0.9932843705018362,0.017262238170951606,0.9905705584420098,0.024936425396137767
23,0.993357029557228,0.017062821673850218,0.9903683529959785,0.0256748100121816
24,0.9934367696444194,0.0168083259370178,0.9907881220181783,0.024296394652790494
25,0.9935133705536524,0.01659012391852836,0.9904469516542223,0.025262652585903805
26,0.9935662736495335,0.016428002590934434,0.9902361763848199,0.025793735248347122
27,0.9936305860678355,0.016248368161420026,0.9902008838123746,0.02585296022395293
28,0.9936727911233902,0.016116856302445134,0.9902280105484856,0.025797924854689173
29,0.9937268942594528,0.015920136775821447,0.9902479383680556,0.025779508261217013
30,0.9937876403331757,0.015761566860601307,0.9903842674361335,0.025610767097936735
31,0.9938280592362086,0.015636066533625127,0.9904303550720215,0.025370375253260136
32,0.9938858777284623,0.015478544232125083,0.9904165003034804,0.025530112493369315
33,0.993917762239774,0.015364965501551827,0.9903939565022787,0.025713363869322672
34,0.9939659277598063,0.01522856120330592,0.9907717903455099,0.024669607687327597
35,0.9940076957146327,0.015116288497423132,0.9910668598281013,0.023821158334612846
36,0.9940422832965851,0.014988164572666088,0.9909215437041389,0.024478914423121348
37,0.9941008736689886,0.014823205955326556,0.9912898341814677,0.023202223496304616
38,0.9941261331240336,0.01474590397750338,0.9908365673489041,0.024669592993126974
39,0.994142762819926,0.014680783885220686,0.9907650020387437,0.0247777517264088
40,0.9941949973503749,0.014519706709931295,0.990601552857293,0.02525149451361762
41,0.9942442834377289,0.014403333887457848,0.9906786415312026,0.02489368410574065
42,0.9942607204119365,0.014346697662646572,0.9906104074584113,0.025249715687500104
43,0.9943060050408046,0.01420739113042752,0.9905200401941935,0.02554976360665427
44,0.9943253089984257,0.014160183351486921,0.9904119438595242,0.025710535132222705
45,0.9943679869174957,0.014027845719829202,0.9901359677314758,0.026515586094723806
46,0.9944167782862982,0.013900425362711152,0.9903514650132921,0.02625420813759168
47,0.9944301476081212,0.013835733259717624,0.9904603759447733,0.02567174264954196
48,0.9944702963034312,0.013733406489094099,0.9909378753768073,0.024165656831529405
49,0.9945143729448318,0.013605573819950223,0.9907865987883674,0.025260233630736668
